crime_id,crime_type,criminal_name,crime_time,place_of_crime,jail_entry_date,bail_granted,duration_of_imprisonment,co_criminals,motive,latitude,longitude,date_of_crime
50,Theft,Ramesh Gupta,13:03:00,T. Nagar,2020-10-18,No,10 years,Deepak Choudhary,Political,8.793996297828857,78.14306482120564,09/09/2021
51,Kidnapping,Vikram Rao,18:32:00,Mylapore,2020-08-07,Yes,1 year,Mohan Verma,Accidental,8.762155181701694,78.18653402691056,11/09/2021
52,Kidnapping,Rajesh Kumar,12:34:00,T. Nagar,2015-06-25,Yes,,Mohan Verma,Financial Gain,8.714565837751495,78.17135207985503,26/08/2019
53,Cyber Crime,Nikita Sinha,18:58:00,Royapettah,2022-08-24,Yes,,,Political,8.739986553746144,78.12957798466033,03/09/2020
54,,Ramesh Gupta,05:09:00,Adyar,2023-05-03,Yes,10 years,Mohan Verma,Financial Gain,8.793192737965295,78.18826434289271,10/08/2021
55,Theft,Vikram Rao,14:39:00,Adyar,2021-08-21,No,10 years,Deepak Choudhary,Accidental,8.730125743229696,78.16468831147186,12/08/2021
56,Fraud,Deepak Choudhary,17:02:00,Adyar,2024-09-06,Yes,10 years,-,Personal Feud,8.768685978700848,78.13988815888099,16/01/2024
57,Cyber Crime,Amit Joshi,19:24:00,Royapettah,2019-04-20,No,5 years,Deepak Choudhary,Revenge,8.791683531457213,78.15881792754783,11/12/2016
58,Theft,Rajesh Kumar,09:14:00,Adyar,2015-11-26,Yes,3 years,Deepak Choudhary,Accidental,8.730380578174536,78.16419989438627,27/07/2019
59,Cyber Crime,Suresh Iyer,12:30:00,Adyar,2022-08-25,Yes,,Mohan Verma,Revenge,8.731065012157364,78.19866607407818,13/11/2023
60,Murder,Deepak Choudhary,10:00:00,Royapettah,2021-09-15,Yes,1 year,Mohan Verma,Revenge,8.763615188880028,78.1312223273229,17/12/2023
61,Kidnapping,Pooja Mehta,10:08:00,Mylapore,2020-02-21,Yes,1 year,Deepak Choudhary,Financial Gain,8.743815003516923,78.19450588009349,30/12/2016
62,Drug Possession,Deepak Choudhary,00:21:00,Velachery,2020-12-25,Yes,1 year,Mohan Verma,Accidental,8.719796388788936,78.16178036785305,17/11/2023
63,Kidnapping,Ramesh Gupta,21:13:00,Velachery,2022-12-19,No,10 years,Anita Sharma,Financial Gain,8.768885289001176,78.12167505367724,11/07/2021
64,Cyber Crime,Nikita Sinha,16:13:00,Mylapore,2023-09-04,No,6 months,Deepak Choudhary,Political,8.700416261297097,78.15067714018113,04/08/2020
65,Kidnapping,Anita Sharma,17:04:00,T. Nagar,2017-04-27,Yes,5 years,Suresh Iyer,,8.742085617151599,78.10244966380056,11/10/2014
66,Fraud,Ramesh Gupta,20:11:00,Purasawalkam,2021-11-25,Yes,10 years,,Accidental,8.748672762984821,78.19917215793637,11/06/2021
67,Theft,Anita Sharma,17:57:00,,2024-09-15,No,2 years,-,Revenge,8.756250181743747,78.10938020367516,11/09/2014
68,Theft,Suresh Iyer,19:30:00,Adyar,2017-03-25,Yes,10 years,Deepak Choudhary,Revenge,8.712039361753437,78.13989209221117,14/10/2023
69,Drug Possession,Deepak Choudhary,23:03:00,Adyar,2018-10-10,No,10 years,Mohan Verma,Personal Feud,8.737553015148949,78.15054401182712,18/10/2023
70,Drug Possession,Ramesh Gupta,09:49:00,Velachery,2015-08-16,No,1 year,Mohan Verma,Self-Defense,8.771878720251763,78.13838901002104,12/05/2021
71,Murder,Pooja Mehta,23:23:00,Anna Nagar,2020-08-01,No,3 years,Deepak Choudhary,Self-Defense,8.722366963198438,78.15454353417643,30/11/2016
72,,Amit Joshi,19:04:00,Kodambakkam,2019-11-01,Yes,1 year,Deepak Choudhary,Political,8.776899320507034,78.18734540729044,11/11/2016
73,Drug Possession,Amit Joshi,08:53:00,Velachery,2017-07-26,No,6 months,,Financial Gain,8.766438183588651,78.17204812014185,12/10/2016
74,Assault,Rajesh Kumar,19:58:00,Mylapore,2021-02-15,No,5 years,Deepak Choudhary,Accidental,8.717227337709078,78.19114526509406,27/06/2019
75,Drug Possession,Suresh Iyer,09:50:00,Mylapore,2022-04-27,Yes,3 years,Mohan Verma,Revenge,8.724791754537584,78.16293807377289,14/09/2023
76,Fraud,Ramesh Gupta,21:56:00,Anna Nagar,2024-08-01,No,6 months,-,Financial Gain,8.772301978014712,78.13487554122806,12/04/2021
77,Kidnapping,Suresh Iyer,18:30:00,Anna Nagar,2017-08-04,No,3 years,-,Accidental,8.747027491413869,78.10848786483191,15/08/2023
78,Assault,Vikram Rao,02:51:00,Anna Nagar,2016-10-11,Yes,1 year,Anita Sharma,Accidental,8.794194847578632,78.19170438541269,13/07/2021
79,Cyber Crime,Pooja Mehta,20:00:00,Kodambakkam,2023-07-16,No,3 years,-,Financial Gain,8.73367714970528,78.1453886780096,31/10/2016
80,Assault,Nikita Sinha,23:49:00,Velachery,2015-08-25,Yes,10 years,Suresh Iyer,Personal Feud,8.709531402344831,78.18104782474596,05/07/2020
81,Kidnapping,Deepak Choudhary,07:05:00,Kodambakkam,2022-12-18,Yes,10 years,Suresh Iyer,Personal Feud,8.709128359990562,78.16665661353596,18/09/2023
82,Cyber Crime,Anita Sharma,13:19:00,Anna Nagar,2022-11-06,No,5 years,Mohan Verma,Financial Gain,8.726898799943168,78.19643560158885,12/08/2014
83,Drug Possession,Rajesh Kumar,06:58:00,T. Nagar,2022-02-14,Yes,5 years,Anita Sharma,Political,8.707898750319677,78.15088624122659,28/05/2019
84,Fraud,Ramesh Gupta,11:10:00,T. Nagar,2017-10-13,No,1 year,Suresh Iyer,Revenge,8.702495455994102,78.17182610639053,13/03/2021
85,Theft,Amit Joshi,03:09:00,,2021-05-03,No,2 years,,Political,8.713859337436132,78.14918659018504,12/09/2016
86,Theft,Rajesh Kumar,15:28:00,T. Nagar,2021-07-16,Yes,10 years,Mohan Verma,Personal Feud,8.705910362153366,78.15056091482931,28/04/2019
87,Murder,Nikita Sinha,21:15:00,Anna Nagar,2024-06-21,No,10 years,-,Revenge,8.790050017605148,78.196694102813,05/06/2020
88,Theft,Amit Joshi,18:54:00,T. Nagar,2017-06-01,No,6 months,Suresh Iyer,Self-Defense,8.726889047586882,78.17602112047865,13/08/2016
89,Theft,Anita Sharma,01:28:00,Mylapore,2018-06-26,Yes,2 years,Suresh Iyer,Political,8.758491754171333,78.17197940619785,13/07/2014
90,Drug Possession,Amit Joshi,18:21:00,Kodambakkam,2023-07-22,No,6 months,Suresh Iyer,Self-Defense,8.764433767853285,78.13764144115227,14/07/2016
91,Drug Possession,Nikita Sinha,02:19:00,Adyar,2017-07-09,Yes,,Suresh Iyer,Accidental,8.726676293528218,78.16809166355155,06/05/2020
92,Assault,Deepak Choudhary,16:45:00,Royapettah,2022-02-24,No,2 years,-,Revenge,8.754178748987547,78.1373560371634,19/08/2023
93,Kidnapping,Pooja Mehta,17:46:00,Velachery,2019-08-09,No,,-,Accidental,8.700378728030465,78.11860717716766,01/10/2016
94,Kidnapping,Nikita Sinha,23:08:00,Velachery,2018-09-03,Yes,3 years,Mohan Verma,Personal Feud,8.767103679665897,78.17031050691928,06/04/2020
95,Murder,Vikram Rao,11:22:00,Mylapore,2023-10-05,Yes,6 months,Anita Sharma,Personal Feud,8.73362918175212,78.18193704480242,13/06/2021
96,Murder,Ramesh Gupta,03:03:00,T. Nagar,2023-01-24,Yes,5 years,,Personal Feud,8.766370116723893,78.13981161220916,11/02/2021
97,Murder,Anita Sharma,09:17:00,T. Nagar,2024-07-16,No,1 year,Mohan Verma,Revenge,8.741608685414539,78.129813213177,13/06/2014
98,Cyber Crime,Deepak Choudhary,14:33:00,Velachery,2022-12-15,No,1 year,Deepak Choudhary,Self-Defense,8.771623278034044,78.16257336783983,20/07/2023
99,Murder,Pooja Mehta,19:41:00,Anna Nagar,2016-10-24,Yes,2 years,Anita Sharma,Personal Feud,8.716064822875172,78.18092793518286,01/09/2016
100,Drug Possession,Deepak Choudhary,12:47:00,T. Nagar,2015-03-15,No,2 years,-,Personal Feud,8.721718865525716,78.10835843848234,20/06/2023
101,Fraud,Ramesh Gupta,18:43:00,T. Nagar,2022-05-14,No,3 years,-,Political,8.771140156518507,78.16974816152849,12/01/2021
102,Murder,Mohan Verma,14:29:00,Velachery,2017-05-11,No,3 years,Mohan Verma,Financial Gain,8.709404669584458,78.12626058210343,12/07/2020
103,Murder,Mohan Verma,16:37:00,Mylapore,2015-09-25,No,2 years,,Accidental,8.728556302805886,78.14477248323382,12/06/2020
104,Murder,,07:45:00,Adyar,2020-07-05,Yes,10 years,Deepak Choudhary,Personal Feud,8.726698090239994,78.1529768864921,
105,Cyber Crime,Anita Sharma,20:17:00,Mylapore,2022-06-13,No,3 years,Mohan Verma,Revenge,8.778655252856767,78.15543354309033,14/05/2014
106,Kidnapping,Nikita Sinha,09:39:00,Royapettah,2024-08-28,Yes,1 year,-,Accidental,8.757554224017086,78.19771245501872,07/03/2020
107,Drug Possession,Deepak Choudhary,20:51:00,T. Nagar,2022-12-17,Yes,6 months,Mohan Verma,Revenge,8.723673701262296,78.18874974534083,21/05/2023
108,Murder,Ramesh Gupta,23:23:00,Mylapore,2020-06-07,No,1 year,Deepak Choudhary,Political,8.787342037572659,78.1829101853996,13/12/2020
109,Assault,Pooja Mehta,13:55:00,Adyar,2022-08-26,Yes,3 years,Suresh Iyer,Self-Defense,8.783949254727396,78.16399625816209,02/08/2016
110,Assault,Ramesh Gupta,17:41:00,Anna Nagar,2023-09-17,Yes,10 years,-,Political,8.731804950031846,78.12782000743334,13/11/2020
111,Assault,Vikram Rao,17:05:00,Anna Nagar,2020-10-25,No,10 years,Suresh Iyer,Personal Feud,8.789982017213381,78.11574701420177,14/05/2021
112,Cyber Crime,Anita Sharma,22:00:00,Purasawalkam,2021-07-10,Yes,6 months,Mohan Verma,Financial Gain,8.790494874659592,78.11530513584201,14/04/2014
113,Cyber Crime,Rajesh Kumar,19:21:00,Anna Nagar,2016-08-17,No,10 years,Anita Sharma,Self-Defense,8.71564471941834,78.16964431987202,29/03/2019
114,Assault,Pooja Mehta,23:00:00,Mylapore,2024-01-27,No,2 years,Mohan Verma,,8.75473668225208,78.11226457196716,03/07/2016
115,Cyber Crime,Amit Joshi,21:36:00,Mylapore,2018-08-03,Yes,6 months,,Self-Defense,8.718873533007082,78.11309110351203,14/06/2016
116,Fraud,Nikita Sinha,08:16:00,Adyar,2016-05-23,Yes,5 years,,Accidental,8.700580377327226,78.19628505053831,06/02/2020
117,Kidnapping,Amit Joshi,23:20:00,Mylapore,2019-11-09,Yes,,,Personal Feud,8.723086132914881,78.12501514066392,15/05/2016
118,Drug Possession,Pooja Mehta,03:44:00,Royapettah,2020-06-01,No,3 years,Deepak Choudhary,Political,8.743857056120854,78.13151962724375,03/06/2016
119,Fraud,Nikita Sinha,08:10:00,T. Nagar,2021-12-26,Yes,5 years,,Revenge,8.776778017344459,78.1784494979665,07/01/2020
120,Fraud,Anita Sharma,01:37:00,,2015-01-23,No,10 years,Deepak Choudhary,Self-Defense,8.710654712294318,78.17589981637465,15/03/2014
121,,Ramesh Gupta,19:56:00,Royapettah,2022-08-22,Yes,2 years,Mohan Verma,Personal Feud,8.732999822059599,78.12751497796543,14/10/2020
122,,Deepak Choudhary,01:08:00,Adyar,2019-02-16,Yes,2 years,Suresh Iyer,Political,8.766526363875998,78.17203430568426,21/04/2023
123,Drug Possession,Suresh Iyer,06:44:00,Kodambakkam,2020-12-01,Yes,5 years,Suresh Iyer,Financial Gain,8.764501150911313,78.16423754366959,16/07/2023
124,Drug Possession,,09:22:00,Anna Nagar,2018-05-04,No,6 months,Deepak Choudhary,Financial Gain,8.73675291801581,78.17116284976466,
125,Murder,Mohan Verma,07:57:00,Adyar,2024-09-24,No,5 years,Deepak Choudhary,Revenge,8.703792509890908,78.15290834475402,13/05/2020
126,Cyber Crime,Amit Joshi,10:09:00,Velachery,2015-04-08,Yes,3 years,-,Financial Gain,8.758716550652885,78.15353874708721,15/04/2016
127,Fraud,Vikram Rao,18:13:00,Adyar,2021-12-26,No,5 years,Suresh Iyer,Financial Gain,8.782392540405295,78.17364893538263,14/04/2021
128,Murder,Mohan Verma,17:58:00,T. Nagar,2021-05-12,No,6 months,Mohan Verma,Revenge,8.727602736551447,78.14376964085082,13/04/2020
129,Theft,Anita Sharma,12:44:00,Adyar,2021-07-13,No,,Anita Sharma,Personal Feud,8.738839092002411,78.19459518795152,13/02/2014
130,Kidnapping,Nikita Sinha,20:17:00,,2020-11-06,Yes,2 years,Suresh Iyer,Self-Defense,8.707833957118812,78.1223864996242,08/12/2019
131,Cyber Crime,Mohan Verma,03:16:00,Royapettah,2020-10-21,No,,Deepak Choudhary,Financial Gain,8.781586647536255,78.16828518376727,14/03/2020
132,,Anita Sharma,04:08:00,Purasawalkam,2023-01-24,Yes,6 months,Suresh Iyer,Political,8.710584132922277,78.16837150985698,14/01/2014
133,Assault,Pooja Mehta,08:53:00,Adyar,2016-12-28,Yes,5 years,Mohan Verma,Self-Defense,8.715064975973217,78.17519166096115,04/05/2016
134,Fraud,Anita Sharma,20:21:00,Velachery,2019-02-27,Yes,10 years,,Accidental,8.77517546483417,78.18870734003536,15/12/2013
135,Kidnapping,Suresh Iyer,09:46:00,Adyar,2015-09-01,No,6 months,Deepak Choudhary,Financial Gain,8.78107011075656,78.13570490119731,16/06/2023
136,Drug Possession,Suresh Iyer,08:06:00,Royapettah,2022-03-18,Yes,10 years,-,Self-Defense,8.769730090401527,78.12492673319872,17/05/2023
137,Cyber Crime,Vikram Rao,19:31:00,T. Nagar,2022-10-07,No,3 years,,Self-Defense,8.713554256779359,78.1909850864985,15/03/2021
138,,Ramesh Gupta,02:27:00,Purasawalkam,2024-03-07,Yes,5 years,-,Accidental,8.795333770090918,78.1641130523223,14/09/2020
139,Murder,,14:07:00,Velachery,2015-12-17,No,10 years,Suresh Iyer,Political,8.795491942353694,78.16386761827123,
140,Fraud,Pooja Mehta,04:11:00,Adyar,2023-12-18,Yes,3 years,Mohan Verma,Financial Gain,8.742823554598072,78.1750179097166,04/04/2016
141,Fraud,Mohan Verma,19:50:00,Adyar,2023-03-24,Yes,1 year,Deepak Choudhary,Personal Feud,8.754132788934717,78.19797566190726,13/02/2020
142,Theft,Mohan Verma,06:57:00,Mylapore,2020-12-26,Yes,6 months,Anita Sharma,Accidental,8.707901435665212,78.10905358917942,14/01/2020
143,Theft,Ramesh Gupta,20:54:00,T. Nagar,2019-08-06,Yes,2 years,Deepak Choudhary,Revenge,8.713714133106558,78.15660656740941,15/08/2020
144,Cyber Crime,Rajesh Kumar,12:48:00,Kodambakkam,2019-06-18,No,10 years,-,Political,8.791402997528502,78.17420491582719,27/02/2019
145,Theft,Mohan Verma,07:06:00,T. Nagar,2023-11-21,No,1 year,Anita Sharma,Self-Defense,8.758715759785705,78.14297456160804,15/12/2019
146,Drug Possession,Anita Sharma,23:38:00,Anna Nagar,2015-02-06,Yes,2 years,Suresh Iyer,Personal Feud,8.746671872328,78.1341069597762,15/11/2013
147,Drug Possession,Ramesh Gupta,22:17:00,Kodambakkam,2024-09-03,Yes,2 years,-,,8.791886650234446,78.16844963726744,16/07/2020
148,Cyber Crime,Amit Joshi,16:14:00,Mylapore,2019-12-24,No,2 years,Suresh Iyer,Political,8.780881152587654,78.18764310361541,16/03/2016
149,Kidnapping,Nikita Sinha,12:05:00,Royapettah,2022-11-22,No,6 months,Suresh Iyer,Personal Feud,8.710099820916067,78.13421450769633,08/11/2019
150,Fraud,Rajesh Kumar,13:45:00,Adyar,2018-04-28,Yes,10 years,Anita Sharma,Financial Gain,8.740814435393105,78.19009618805691,28/01/2019
151,Cyber Crime,Rajesh Kumar,02:19:00,Anna Nagar,2021-12-11,No,6 months,Deepak Choudhary,Personal Feud,8.740972668956076,78.19652266699283,29/12/2018
152,Fraud,Vikram Rao,22:09:00,Purasawalkam,2020-06-17,Yes,1 year,Suresh Iyer,Revenge,8.783367638762785,78.1509711912747,13/02/2021
153,Murder,Vikram Rao,10:39:00,,2018-12-27,Yes,2 years,,Self-Defense,8.769559996129551,78.11749151557436,14/01/2021
154,Murder,Rajesh Kumar,01:43:00,,2018-05-28,No,3 years,Deepak Choudhary,Self-Defense,8.733718945641318,78.121065098272,29/11/2018
155,Theft,Amit Joshi,07:51:00,Kodambakkam,2022-05-13,Yes,10 years,Deepak Choudhary,Accidental,8.750857966265448,78.1383265572117,15/02/2016
156,,Anita Sharma,13:31:00,Mylapore,2018-11-27,Yes,6 months,Deepak Choudhary,Accidental,8.785171873644982,78.10698038743084,16/10/2013
157,Assault,Nikita Sinha,03:11:00,Adyar,2020-07-05,No,,Anita Sharma,Accidental,8.795772873387849,78.1395976150722,09/10/2019
158,Theft,,19:14:00,Royapettah,2022-11-01,No,1 year,-,Accidental,8.74058504117695,78.19764735520397,
159,Drug Possession,Vikram Rao,12:55:00,Adyar,2016-05-20,No,6 months,,Accidental,8.774598163911508,78.13576999083055,15/12/2020
160,Theft,,00:05:00,Adyar,2016-10-15,Yes,,Mohan Verma,Revenge,8.722419492793298,78.11927462218773,
161,Drug Possession,Suresh Iyer,13:11:00,Kodambakkam,2021-05-23,Yes,10 years,,Political,8.786814634809746,78.15247740550757,17/04/2023
162,Assault,Mohan Verma,11:42:00,Kodambakkam,2017-04-21,No,5 years,Deepak Choudhary,Political,8.79141998145259,78.10842009667718,15/11/2019
163,Fraud,Anita Sharma,03:40:00,Royapettah,2018-07-02,No,6 months,-,Revenge,8.761626672298968,78.10277694719551,16/09/2013
164,Murder,Suresh Iyer,14:00:00,Velachery,2016-01-12,Yes,1 year,Deepak Choudhary,Financial Gain,8.774452983396888,78.17171041673278,18/03/2023
165,Fraud,Deepak Choudhary,14:40:00,Velachery,2016-07-03,Yes,3 years,-,Self-Defense,8.721745420231025,78.19581364659197,22/03/2023
166,Fraud,Nikita Sinha,17:56:00,Anna Nagar,2023-06-06,No,10 years,-,Accidental,8.704679820524898,78.13879878859956,09/09/2019
167,Theft,Rajesh Kumar,11:35:00,Royapettah,2024-12-09,No,3 years,Deepak Choudhary,,8.796339106971235,78.19933582615198,30/10/2018
168,Drug Possession,Suresh Iyer,13:01:00,,2020-02-24,Yes,5 years,Mohan Verma,Political,8.715115408881614,78.14390078609755,16/02/2023
169,Fraud,Deepak Choudhary,11:10:00,Kodambakkam,2023-09-14,Yes,1 year,-,Revenge,8.753841538492853,78.17026093227244,20/02/2023
170,Drug Possession,Ramesh Gupta,16:44:00,Purasawalkam,2016-04-24,No,,Anita Sharma,Revenge,8.773694549757785,78.15060181122037,16/06/2020
171,Cyber Crime,Ramesh Gupta,11:19:00,Adyar,2019-05-21,No,10 years,Mohan Verma,Accidental,8.734403685391703,78.18752860391035,17/05/2020
172,Kidnapping,Rajesh Kumar,20:22:00,Adyar,2022-01-28,Yes,5 years,Suresh Iyer,,8.770989083533047,78.13773400061784,30/09/2018
173,Theft,Suresh Iyer,06:56:00,Royapettah,2022-12-03,Yes,2 years,Deepak Choudhary,Accidental,8.731320054031725,78.10742934041062,17/01/2023
174,Fraud,Deepak Choudhary,11:53:00,Kodambakkam,2018-08-12,Yes,2 years,Deepak Choudhary,Self-Defense,8.795262352125528,78.10393944534165,21/01/2023
175,Fraud,Pooja Mehta,00:34:00,Mylapore,2022-03-01,Yes,6 months,-,Accidental,8.752891099255542,78.19104436207999,05/03/2016
176,Assault,Mohan Verma,12:36:00,Velachery,2019-02-09,No,3 years,,Revenge,8.794181039549423,78.15492189044046,16/10/2019
177,Drug Possession,Vikram Rao,10:30:00,Velachery,2017-07-08,Yes,3 years,Anita Sharma,Personal Feud,8.789305448013627,78.1976185425994,15/11/2020
178,Assault,,03:15:00,Mylapore,2017-07-08,Yes,,-,Political,8.78055567487913,78.18111506516367,
179,Assault,Ramesh Gupta,19:36:00,Adyar,2019-05-19,Yes,10 years,Mohan Verma,Political,8.70788424367812,78.1767277143983,17/04/2020
180,Kidnapping,Nikita Sinha,16:36:00,Anna Nagar,2024-02-02,No,,,Personal Feud,8.714662400903565,78.15091712920749,10/08/2019
181,Drug Possession,Amit Joshi,08:05:00,Royapettah,2018-12-12,Yes,10 years,Mohan Verma,Personal Feud,8.720566213727261,78.15753629337415,16/01/2016
